"LOB","Claim_Number","Claimant_Sequence","Party_Update","Coverage_Code_Detail","Claim_Type","ref_claim_number"
CA,2774666,1,"1st Party",Prop Damage,APD,"2774666-1"
CA,2774666,2,"3rd Party",Prop Damage,AL,"2774666-2"
CA,2774731,1,"1st Party",Coll,APD,"2774731-1"
CA,2774830,1,"1st Party",Coll,APD,"2774830-1"
CA,2774830,2,"3rd Party",Coll,AL,"2774830-2"
CA,2774830,3,"1st Party",Uninsured motorist,APD,"2774830-3"
CA,2774830,4,"1st Party",PIP,APD,"2774830-4"
CA,2774869,1,"1st Party",Coll,APD,"2774869-1"
CA,2774869,2,"3rd Party",Prop Damage,AL,"2774869-2"
CA,2775021,1,"1st Party",Prop Damage,APD,"2775021-1"
CA,2775021,2,"1st Party",Prop Damage,APD,"2775021-2"
CA,2775021,3,"3rd Party",Prop Damage,AL,"2775021-3"
CA,2775032,1,"3rd Party",Prop Damage,AL,"2775032-1"
CA,2775321,1,"1st party",Coll,APD,"2775321-1"
CA,2775321,2,"3rd Party",Coll,AL,"2775321-2"
CA,2775325,1,"1st Party",Coll,APD,"2775325-1"
CA,2775325,2,"3rd Party",Prop Damage,AL,"2775325-2"
CA,2775325,3,"3rd Party",Prop Damage,AL,"2775325-3"
CA,2775325,4,"3rd Party",Prop Damage,AL,"2775325-4"
CA,2775325,5,"3rd Party",Prop Damage,AL,"2775325-5"
CA,2775325,6,"3rd Party",Prop Damage,AL,"2775325-6"
CA,2775325,7,"3rd Party",Prop Damage,AL,"2775325-7"
CA,2775364,1,"1st Party",Coll,APD,"2775364-1"
CA,2775364,2,"3rd Party",Prop Damage,AL,"2775364-2"
CA,2775365,1,"1st Party",Prop Damage,APD,"2775365-1"
CA,2775365,2,"3rd Party",Prop Damage,AL,"2775365-2"
CA,2775440,1,"3rd Party",Coll,AL,"2775440-1"
CA,2775440,2,"3rd Party",Prop Damage,AL,"2775440-2"
CA,2775514,1,"1st Party",Coll,APD,"2775514-1"
CA,2775514,2,"3rd Party",Prop Damage,AL,"2775514-2"
CA,2775514,3,"3rd Party",Prop Damage,AL,"2775514-3"
CA,2775514,4,"3rd Party",Prop Damage,AL,"2775514-4"
CA,2775514,5,"3rd Party",Prop Damage,AL,"2775514-5"
CA,2775514,6,"3rd Party",Prop Damage,AL,"2775514-6"
CA,2775514,7,"3rd Party",Prop Damage,AL,"2775514-7"
CA,2775514,8,"3rd Party",Prop Damage,AL,"2775514-8"
CA,2775514,9,"3rd Party",Prop Damage,AL,"2775514-9"
CA,2775514,10,"3rd Party",Prop Damage,AL,"2775514-10"
CA,2775514,11,"3rd Party",Prop Damage,AL,"2775514-11"
CA,2775514,12,"3rd Party",Prop Damage,AL,"2775514-12"
CA,2775514,13,"3rd Party",Prop Damage,AL,"2775514-13"
CA,2775514,14,"3rd Party",Prop Damage,AL,"2775514-14"
CA,2775514,15,"3rd Party",Prop Damage,AL,"2775514-15"
CA,2775514,16,"3rd Party",Prop Damage,AL,"2775514-16"
CA,2775514,17,"3rd Party",Prop Damage,AL,"2775514-17"
CA,2775514,18,"3rd Party",Prop Damage,AL,"2775514-18"
CA,2775514,19,"3rd Party",Prop Damage,AL,"2775514-19"
CA,2775514,20,"3rd Party",Prop Damage,AL,"2775514-20"
CA,2775514,21,"3rd Party",Prop Damage,AL,"2775514-21"
CA,2775514,22,"3rd Party",Prop Damage,AL,"2775514-22"
CA,2775514,23,"3rd Party",Prop Damage,AL,"2775514-23"
CA,2775514,24,"3rd Party",Prop Damage,AL,"2775514-24"
CA,2775514,25,"3rd Party",Prop Damage,AL,"2775514-25"
CA,2775514,26,"3rd Party",Prop Damage,AL,"2775514-26"
CA,2775514,27,"3rd Party",Prop Damage,AL,"2775514-27"
CA,2775534,1,"1st Party",Coll,APD,"2775534-1"
CA,2775534,2,"3rd Party",Prop Damage,AL,"2775534-2"
CA,2775617,1,"1st party",Coll,APD,"2775617-1"
CA,2775617,2,"3rd Party",Prop Damage,AL,"2775617-2"
CA,2775829,1,"1st Party",Comp ,APD,"2775829-1"
CA,2775845,1,"3rd Party",Prop Damage,AL,"2775845-1"
CA,2775913,1,"1st Party",Comp ,APD,"2775913-1"
CA,2776360,1,"3rd Party",Prop Damage,AL,"2776360-1"
CA,2776413,1,"3rd Party",Prop Damage,AL,"2776413-1"
CA,2776413,2,"3rd Party",Prop Damage,AL,"2776413-2"
CA,2776474,1,"1st Party",Coll,APD,"2776474-1"
CA,2776474,2,"3rd Party",Prop Damage,AL,"2776474-2"
CA,2776525,1,"1st Party",Prop Damage,APD,"2776525-1"
CA,2776525,2,"3rd Party",Prop Damage,AL,"2776525-2"
CA,2776593,1,"1st Party",Coll,APD,"2776593-1"
CA,2776618,1,"1st Party",Comp ,APD,"2776618-1"
