"LOB","class_code","class_code_desc","auto_size_class","auto_size_class_type","auto_size_class_weight","auto_business_use_class","auto_radius_class","auto_fleet","auto_classification","auto_subclassification","auto_type","auto_subtype"
AL,"01111",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Manufacturers,Chemical,"Truck, Tractor, or Trailer",
AL,"01112",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Manufacturers,Furniture,"Truck, Tractor, or Trailer",
AL,"01113",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Manufacturers,Garment,"Truck, Tractor, or Trailer",
AL,"01114",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Manufacturers,Machinery,"Truck, Tractor, or Trailer",
AL,"01115",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Manufacturers,Metal,"Truck, Tractor, or Trailer",
AL,"01116",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Manufacturers,Structural Iron or Steel,"Truck, Tractor, or Trailer",
AL,"01119",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Manufacturers,NOC,"Truck, Tractor, or Trailer",
AL,"01121",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Truckers,Common Carriers,"Truck, Tractor, or Trailer",
AL,"01122",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Truckers,Contract Carriers - NOC,"Truck, Tractor, or Trailer",
AL,"01123",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Truckers,Contract Carriers - Hauling Chemicals,"Truck, Tractor, or Trailer",
AL,"01124",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Truckers,Contract Carriers - Hauling Iron and Steel,"Truck, Tractor, or Trailer",
AL,"01125",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Truckers,Exempt Carriers - NOC,"Truck, Tractor, or Trailer",
AL,"01126",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Truckers,Exempt Carriers - Hauling Livestock,"Truck, Tractor, or Trailer",
AL,"01127",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Truckers,Contract Carriers - Hauling Petroleum or Petroleum Products,"Truck, Tractor, or Trailer",
AL,"01129",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Truckers,NOC,"Truck, Tractor, or Trailer",
AL,"01131",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Food Delivery,Canneries an Packing Plants,"Truck, Tractor, or Trailer",
AL,"01132",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Food Delivery,Fish and Seafood,"Truck, Tractor, or Trailer",
AL,"01133",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Food Delivery,Frozen Food,"Truck, Tractor, or Trailer",
AL,"01134",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Food Delivery,Fruit and Vegetable,"Truck, Tractor, or Trailer",
AL,"01135",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Food Delivery,Meat or Poultry,"Truck, Tractor, or Trailer",
AL,"01139",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Food Delivery,NOC,"Truck, Tractor, or Trailer",
AL,"01141",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Specialized Delivery,Armored Cars,"Truck, Tractor, or Trailer",
AL,"01142",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Specialized Delivery,Film Delivery,"Truck, Tractor, or Trailer",
AL,"01143",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Specialized Delivery,Magazines or Newspapers,"Truck, Tractor, or Trailer",
AL,"01144",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Specialized Delivery,Mail and Parcel Post,"Truck, Tractor, or Trailer",
AL,"01149",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Specialized Delivery,NOC,"Truck, Tractor, or Trailer",
AL,"01151",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Waste Disposal,Automobile Dismantlers,"Truck, Tractor, or Trailer",
AL,"01152",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Waste Disposal,Building Wrecking Operators,"Truck, Tractor, or Trailer",
AL,"01153",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Waste Disposal,Garbage,"Truck, Tractor, or Trailer",
